DIA;HORAS_TOTALES_USOS_BICICLETAS;HORAS_TOTALES_DISPONIBILIDAD_BICICLETAS_EN _ANCLAJES;TOTAL_HORAS_SERVICIO_BICICLETAS;MEDIA_BICICLETAS_DISPONIBLES;USOS_ABONADO_ANUAL;USOS_ABONADO_OCASIONAL;TOTAL_USOS
09/07/2016;3.145,53;44.255,65;47.401,18;1.975,05;8.220;328;8.548
10/07/2016;2.761,62;42.895,33;45.656,95;1.902,37;7.306;340;7.646
11/07/2016;3.571,67;44.052,90;47.624,57;1.984,36;11.081;137;11.218
12/07/2016;3.912,67;43.740,25;47.652,92;1.985,54;12.213;153;12.366
13/07/2016;3.922,52;42.480,93;46.403,45;1.933,48;12.648;180;12.828
14/07/2016;3.893,85;41.579,93;45.473,78;1.894,74;12.046;196;12.242
15/07/2016;3.622,85;42.342,21;45.965,06;1.915,21;11.028;188;11.216
16/07/2016;2.886,67;43.458,78;46.345,45;1.931,06;7.663;357;8.020
17/07/2016;2.799,63;41.941,13;44.740,76;1.864,20;7.107;267;7.374
18/07/2016;3.341,35;42.835,08;46.176,43;1.924,02;10.286;175;10.461
19/07/2016;3.704,30;42.008,33;45.712,63;1.904,69;11.385;168;11.553
20/07/2016;3.644,22;42.370,65;46.014,87;1.917,29;11.436;199;11.635
21/07/2016;3.691,57;43.171,21;46.862,78;1.952,62;11.715;143;11.858
22/07/2016;3.439,37;43.122,53;46.561,90;1.940,08;10.152;212;10.364
23/07/2016;2.563,93;44.711,83;47.275,76;1.969,82;6.206;302;6.508
24/07/2016;2.309,60;43.985,83;46.295,43;1.928,98;5.615;302;5.917
25/07/2016;2.496,93;45.882,92;48.379,85;2.015,83;6.071;216;6.287
26/07/2016;3.395,60;45.178,95;48.574,55;2.023,94;10.209;143;10.352
27/07/2016;3.593,12;44.470,35;48.063,47;2.002,64;10.951;145;11.096
28/07/2016;3.656,30;43.886,92;47.543,22;1.980,97;11.138;151;11.289
29/07/2016;3.493,87;44.625,25;48.119,12;2.004,96;10.110;175;10.285
30/07/2016;2.597,13;46.098,28;48.695,41;2.028,98;7.009;195;7.204
31/07/2016;2.776,80;44.666,83;47.443,63;1.976,82;6.726;296;7.022
01/08/2016;2.989,30;45.776,03;48.765,33;2.031,89;8.628;187;8.815
02/08/2016;3.038,27;45.217,80;48.256,07;2.010,67;8.900;185;9.085
03/08/2016;3.248,42;45.030,87;48.279,29;2.011,64;9.396;204;9.600
04/08/2016;3.144,43;45.118,52;48.262,95;2.010,96;9.293;176;9.469
05/08/2016;2.931,65;44.923,30;47.854,95;1.993,96;8.371;191;8.562
06/08/2016;2.384,70;45.531,81;47.916,51;1.996,52;5.758;258;6.016
07/08/2016;2.383,03;44.271,48;46.654,51;1.943,94;5.413;263;5.676
08/08/2016;2.508,63;45.789,50;48.298,13;2.012,42;7.363;205;7.568
09/08/2016;2.622,38;45.374,51;47.996,89;1.999,87;7.729;168;7.897
10/08/2016;2.759,55;44.321,75;47.081,30;1.961,72;7.980;176;8.156
11/08/2016;2.865,90;45.179,97;48.045,87;2.001,91;7.932;242;8.174
12/08/2016;2.757,27;46.005,03;48.762,30;2.031,76;6.982;274;7.256
13/08/2016;2.228,58;46.737,56;48.966,14;2.040,26;5.006;313;5.319
14/08/2016;2.308,48;44.966,38;47.274,86;1.969,79;4.671;447;5.118
15/08/2016;2.306,70;47.349,73;49.656,43;2.069,02;4.916;352;5.268
16/08/2016;2.708,52;45.883,83;48.592,35;2.024,68;7.307;249;7.556
17/08/2016;2.801,55;45.514,81;48.316,36;2.013,18;7.701;222;7.923
18/08/2016;2.858,50;45.896,96;48.755,46;2.031,48;7.991;248;8.239
19/08/2016;2.715,62;46.838,40;49.554,02;2.064,75;7.511;232;7.743
20/08/2016;2.512,25;47.385,75;49.898,00;2.079,08;5.738;317;6.055
21/08/2016;2.491,67;45.715,25;48.206,92;2.008,62;5.577;347;5.924
22/08/2016;2.944,42;47.627,01;50.571,43;2.107,14;8.095;176;8.271
23/08/2016;3.006,45;46.914,81;49.921,26;2.080,05;8.495;208;8.703
24/08/2016;3.145,97;46.965,30;50.111,27;2.087,97;9.040;189;9.229
25/08/2016;3.221,47;46.595,05;49.816,52;2.075,69;9.013;266;9.279
26/08/2016;3.005,93;46.368,23;49.374,16;2.057,26;8.348;201;8.549
27/08/2016;2.830,50;45.989,36;48.819,86;2.034,16;6.998;335;7.333
28/08/2016;2.833,17;44.166,97;47.000,14;1.958,34;6.451;325;6.776
29/08/2016;3.111,72;47.334,05;50.445,77;2.101,91;9.176;143;9.319
30/08/2016;3.330,43;45.724,22;49.054,65;2.043,94;10.113;102;10.215
31/08/2016;3.587,40;45.511,15;49.098,55;2.045,77;10.646;143;10.789
01/09/2016;3.540,80;44.650,98;48.191,78;2.007,99;10.919;103;11.022
02/09/2016;3.676,35;44.232,62;47.908,97;1.996,21;10.929;133;11.062
03/09/2016;3.183,57;44.825,12;48.008,69;2.000,36;8.301;301;8.602
04/09/2016;3.097,63;42.711,20;45.808,83;1.908,70;7.925;328;8.253
05/09/2016;3.363,28;43.966,85;47.330,13;1.972,09;10.470;123;10.593
06/09/2016;3.615,83;42.922,96;46.538,79;1.939,12;10.927;115;11.042
07/09/2016;3.689,58;42.625,33;46.314,91;1.929,79;11.193;80;11.273
08/09/2016;3.769,20;42.719,27;46.488,47;1.937,02;11.283;125;11.408
09/09/2016;3.840,80;42.690,03;46.530,83;1.938,78;10.819;143;10.962
10/09/2016;3.155,25;42.684,18;45.839,43;1.909,98;7.990;322;8.312
11/09/2016;3.135,48;40.164,53;43.300,01;1.804,17;7.576;255;7.831
12/09/2016;3.197,17;41.799,83;44.997,00;1.874,88;9.565;138;9.703
13/09/2016;2.608,62;41.751,40;44.360,02;1.848,33;8.067;70;8.137
14/09/2016;3.130,43;42.827,35;45.957,78;1.914,91;9.261;121;9.382
15/09/2016;3.557,27;42.388,03;45.945,30;1.914,39;9.846;115;9.961
16/09/2016;3.419,32;41.613,33;45.032,65;1.876,36;9.495;151;9.646
17/09/2016;2.900,40;41.457,53;44.357,93;1.848,25;7.241;225;7.466
18/09/2016;2.943,95;39.825,80;42.769,75;1.782,07;6.623;300;6.923
19/09/2016;2.853,03;41.355,93;44.208,96;1.842,04;7.953;103;8.056
20/09/2016;3.044,22;39.766,75;42.810,97;1.783,79;8.762;79;8.841
21/09/2016;3.123,57;39.353,33;42.476,90;1.769,87;8.862;67;8.929
22/09/2016;3.193,15;39.421,97;42.615,12;1.775,63;9.039;94;9.133
23/09/2016;2.886,17;38.541,71;41.427,88;1.726,16;8.378;97;8.475
24/09/2016;2.660,00;36.838,30;39.498,30;1.645,76;6.482;256;6.738
25/09/2016;2.629,27;32.760,06;35.389,33;1.474,56;5.751;251;6.002
26/09/2016;2.246,87;32.013,27;34.260,14;1.427,51;6.247;96;6.343
27/09/2016;2.727,80;34.602,53;37.330,33;1.555,43;7.728;64;7.792
28/09/2016;2.858,55;36.441,75;39.300,30;1.637,51;8.299;67;8.366
29/09/2016;3.043,12;37.223,68;40.266,80;1.677,78;8.452;80;8.532
30/09/2016;3.176,85;39.455,85;42.632,70;1.776,36;8.666;129;8.795
01/10/2016;2.945,53;39.120,90;42.066,43;1.752,77;7.097;278;7.375
02/10/2016;3.165,25;36.469,40;39.634,65;1.651,44;6.789;364;7.153
03/10/2016;2.806,63;39.039,35;41.845,98;1.743,58;7.955;92;8.047
04/10/2016;3.096,10;38.789,58;41.885,68;1.745,24;8.608;76;8.684
05/10/2016;2.924,67;36.514,25;39.438,92;1.643,29;8.796;51;8.847
06/10/2016;3.141,40;38.471,41;41.612,81;1.733,87;9.093;87;9.180
07/10/2016;3.233,45;39.731,57;42.965,02;1.790,21;8.688;154;8.842
08/10/2016;2.943,97;39.950,51;42.894,48;1.787,27;6.889;348;7.237
09/10/2016;2.618,65;38.837,70;41.456,35;1.727,35;6.079;336;6.415
10/10/2016;2.514,57;38.568,55;41.083,12;1.711,80;7.277;110;7.387
11/10/2016;2.785,22;38.464,18;41.249,40;1.718,73;8.050;82;8.132
12/10/2016;1.068,15;26.979,51;28.047,66;1.168,65;2.759;22;2.781
13/10/2016;1596,13;36.994,20;38.590,33;1607,93;4.491;35;4.526
14/10/2016;2.266,23;35.503,70;37.769,93;1.573,75;6.151;49;6.200
15/10/2016;2.097,00;34.349,06;36.446,06;1.518,59;5.162;144;5.306
16/10/2016;1.964,38;29.788,70;31.753,08;1.323,05;4.381;180;4.561
17/10/2016;1.924,73;33.660,22;35.584,95;1.482,71;5.113;70;5.183
18/10/2016;2.040,73;32.851,78;34.892,51;1.453,85;6.263;44;6.307
19/10/2016;1.489,58;30.990,73;32.480,31;1.353,35;4.292;17;4.309
20/10/2016;1.531,13;30.109,87;31.641,00;1.318,38;3.888;14;3.902
21/10/2016;2.020,38;28.008,53;30.028,91;1.251,20;5.610;68;5.678
22/10/2016;1.022,88;27.607,66;28.630,54;1.192,94;2.604;43;2.647
23/10/2016;703,52;22.810,38;23.513,90;979,75;1.917;36;1.953
24/10/2016;1.388,43;24.600,00;25.988,43;1.082,85;3.811;32;3.843
25/10/2016;1.675,98;25.324,92;27.000,90;1.125,04;5.060;36;5.096
26/10/2016;2.156,35;25.390,81;27.547,16;1.147,80;5.920;60;5.980
27/10/2016;2.125,02;25.553,11;27.678,13;1.153,26;5.986;73;6.059
28/10/2016;2.045,92;25.769,92;27.815,84;1.158,99;5.541;62;5.603
29/10/2016;1.945,07;24.208,45;26.153,52;1.089,73;4.389;186;4.575
30/10/2016;1.890,25;20.316,50;22.206,75;888,27;3.617;255;3.872
31/10/2016;1.956,18;22.287,10;24.243,28;1.010,14;4.701;117;4.818
01/11/2016;1.872,42;24.301,80;26.174,22;1.090,59;4.235;168;4.403
02/11/2016;1.885,10;21.219,03;23.104,13;962,67;5.645;46;5.691
03/11/2016;2.275,72;24.914,03;27.189,75;1.132,91;6.153;58;6.211
04/11/2016;1.166,10;27.152,66;28.318,76;1.179,95;2.947;18;2.965
05/11/2016;952,38;28.032,61;28.984,99;1.207,71;2.166;19;2.185
06/11/2016;1.697,77;17.353,71;19.051,48;793,81;3.682;122;3.804
07/11/2016;1.779,38;26.673,65;28.453,03;1.185,54;4.564;56;4.620
08/11/2016;2.045,67;27.895,98;29.941,65;1.247,57;5.525;45;5.570
09/11/2016;1.458,80;26.846,10;28.304,90;1.179,37;4.031;61;4.092
10/11/2016;2.059,87;25.625,33;27.685,20;1.153,55;5.555;50;5.605
11/11/2016;2.195,15;26.023,13;28.218,28;1.175,76;5.773;67;5.840
12/11/2016;1.850,67;25.061,81;26.912,48;1.121,35;4.465;121;4.586
13/11/2016;1.889,02;24.862,75;26.751,77;1.114,66;4.276;144;4.420
14/11/2016;1.793,17;25.689,70;27.482,87;1.145,12;5.138;35;5.173
15/11/2016;1.864,50;25.375,63;27.240,13;1.135,01;5.148;57;5.205
16/11/2016;2.085,55;24.096,85;26.182,40;1.090,93;5.450;40;5.490
17/11/2016;2.234,20;24.442,53;26.676,73;1.111,53;5.774;39;5.813
18/11/2016;2.201,60;25.993,53;28.195,13;1.174,80;5.858;67;5.925
19/11/2016;1.904,37;26.077,60;27.981,97;1.165,92;4.556;183;4.739
20/11/2016;786,88;27.207,93;27.994,81;1.166,45;1.502;22;1.524
21/11/2016;1.377,20;27.163,08;28.540,28;1.189,18;4.146;25;4.171
22/11/2016;1.678,80;27.601,83;29.280,63;1.220,03;4.850;12;4.862
23/11/2016;1.533,53;27.159,60;28.693,13;1.195,55;4.312;12;4.324
24/11/2016;1.915,75;28.180,13;30.095,88;1.254,00;5.213;26;5.239
25/11/2016;1.097,92;30.423,71;31.521,63;1.313,40;2.759;8;2.767
26/11/2016;745,33;30.107,71;30.853,04;1.285,54;1.782;9;1.791
27/11/2016;714;29.748,05;30.462,05;1.269,25;1.802;18;1.820
28/11/2016;1.715,08;29.976,28;31.691,36;1.320,47;5.310;62;5.372
29/11/2016;1.810,37;31.122,66;32.933,03;1.372,21;5.299;27;5.326
30/11/2016;2.178,20;31.052,58;33.230,78;1.384,62;5.987;39;6.026
01/12/2016;2.119,35;31.320,42;33.439,77;1.393,32;6.249;23;6.272
02/12/2016;2.411,83;31.872,53;34.284,36;1.428,52;6.511;45;6.556
03/12/2016;1.914,73;32.252,57;34.167,30;1.423,64;4.623;173;4.796
04/12/2016;861,22;33.515,90;34.377,12;1.432,38;1.937;26;1.963
05/12/2016;1.875,22;33.071,00;34.946,22;1.456,09;5.256;67;5.323
06/12/2016;2.132,92;32.708,10;34.841,02;1.451,71;4.903;191;5.094
07/12/2016;2.228,80;32.720,03;34.948,83;1.456,20;5.971;61;6.032
08/12/2016;1.990,55;33.506,53;35.497,08;1.479,05;4.449;117;4.566
09/12/2016;1.990,67;33.610,45;35.601,12;1.483,38;5.341;82;5.423
10/12/2016;2.131,38;33.736,38;35.867,76;1.494,49;4.806;206;5.012
11/12/2016;1.785,57;34.560,26;36.345,83;1.514,41;4.386;134;4.520
12/12/2016;1.912,03;34.975,80;36.887,83;1.536,99;5.650;30;5.680
13/12/2016;2.041,05;34.295,76;36.336,81;1.514,03;5.799;25;5.824
14/12/2016;1.758,03;33.992,43;35.750,46;1.489,60;5.191;15;5.206
15/12/2016;1.517,17;34.640,20;36.157,37;1.506,56;4.259;15;4.274
16/12/2016;1.396,42;35.465,57;36.861,99;1.535,92;4.169;14;4.183
17/12/2016;2.084,80;34.133,58;36.218,38;1.509,10;5.660;117;5.777
18/12/2016;1.753,17;34.566,83;36.320,00;1.513,33;4.624;111;4.735
19/12/2016;1.964,68;34.917,58;36.882,26;1.536,76;5.723;54;5.777
20/12/2016;2.088,77;35.028,25;37.117,02;1.546,54;6.158;50;6.208
21/12/2016;2.288,02;34.257,62;36.545,64;1.522,74;6.711;67;6.778
22/12/2016;2.308,17;33.792,77;36.100,94;1.504,21;6.676;46;6.722
23/12/2016;2.093,95;33.470,97;35.564,92;1.481,87;5.949;102;6.051
24/12/2016;1.252,28;34.353,45;35.605,73;1.483,57;3.265;87;3.352
25/12/2016;868,78;34.243,01;35.111,79;1.462,99;1.911;116;2.027
26/12/2016;1.349,12;32.997,38;34.346,50;1.431,10;2.996;131;3.127
27/12/2016;1.906,47;32.687,98;34.594,45;1.441,44;4.799;160;4.959
28/12/2016;1.927,58;33.501,08;35.428,66;1.476,19;5.185;247;5.432
29/12/2016;2.015,72;33.629,01;35.644,73;1.485,20;5.561;211;5.772
30/12/2016;1.909,67;34.206,93;36.116,60;1.504,86;4.972;208;5.180
31/12/2016;1.076,63;35.096,58;36.173,21;1.507,22;2.696;103;2.799
01/01/2017;832,8;34.549,78;35.382,58;1.474,27;1.767;133;1.900
02/01/2017;1.169,08;35.174,15;36.343,23;1.514,30;3.297;116;3.413
03/01/2017;1.623,75;34.968,90;36.592,65;1.524,69;4.507;156;4.663
04/01/2017;1.871,85;34.729,20;36.601,05;1.525,04;5.214;162;5.376
05/01/2017;1.750,18;36.261,92;38.012,10;1.583,84;5.077;118;5.195
06/01/2017;1.287,22;35.485,10;36.772,32;1.532,18;2.934;161;3.095
07/01/2017;1.444,12;36.311,60;37.755,72;1.573,16;4.030;111;4.141
08/01/2017;1.317,80;36.808,50;38.126,30;1.588,60;3.760;97;3.857
09/01/2017;1.711,38;37.006,21;38.717,59;1.613,23;5.686;76;5.762
10/01/2017;1.859,65;37.429,87;39.289,52;1.637,06;6.221;55;6.276
11/01/2017;2.048,08;37.537,22;39.585,30;1.649,39;6.974;54;7.028
12/01/2017;2.100,75;37.269,08;39.369,83;1.640,41;6.788;77;6.865
13/01/2017;2.175,40;37.148,00;39.323,40;1.638,48;6.743;105;6.848
14/01/2017;1.789,53;37.248,80;39.038,33;1.626,60;5.080;149;5.229
15/01/2017;1.521,90;37.709,12;39.231,02;1.634,63;4.234;139;4.373
16/01/2017;1.797,03;38.034,43;39.831,46;1.659,64;6.036;54;6.090
17/01/2017;1.774,18;38.930,08;40.704,26;1.696,01;5.961;34;5.995
18/01/2017;1.603,33;39.249,25;40.852,58;1.702,19;5.328;47;5.375
19/01/2017;1.484,75;38.602,31;40.087,06;1.670,29;5.084;55;5.139
20/01/2017;1.519,98;38.599,87;40.119,85;1.671,66;5.243;55;5.298
21/01/2017;1.577,77;38.914,41;40.492,18;1.687,17;4.548;119;4.667
22/01/2017;1.285,47;38.854,30;40.139,77;1.672,49;4.003;96;4.099
23/01/2017;1.592,10;38.585,45;40.177,55;1.674,06;5.768;35;5.803
24/01/2017;1.838,13;38.770,48;40.608,61;1.692,03;6.515;25;6.540
25/01/2017;1.823,75;38.373,73;40.197,48;1.674,90;6.435;37;6.472
26/01/2017;1.753,87;38.632,30;40.386,17;1.682,76;6.187;17;6.204
27/01/2017;1.125,97;39.324,73;40.450,70;1.685,45;4.038;10;4.048
28/01/2017;1.485,77;39.708,63;41.194,40;1.716,43;4.479;141;4.620
29/01/2017;903,25;40.799,45;41.702,70;1.737,61;2.874;52;2.926
30/01/2017;1.482,37;40.314,48;41.796,85;1.741,54;5.438;67;5.505
31/01/2017;1.855,40;39.726,58;41.581,98;1.732,58;6.756;45;6.801
01/02/2017;1.743,52;40.045,33;41.788,85;1.741,20;6.245;53;6.298
02/02/2017;1.408,53;40.727,10;42.135,63;1.755,65;5.170;39;5.209
03/02/2017;1.559,25;40.893,03;42.452,28;1.768,85;5.573;49;5.622
04/02/2017;1.173,80;41.439,93;42.613,73;1.775,57;4.093;74;4.167
05/02/2017;1.289,30;41.276,29;42.565,59;1.773,57;3.967;97;4.064
06/02/2017;1.796,70;40.889,25;42.685,95;1.778,58;6.602;49;6.651
07/02/2017;1.622,90;40.733,03;42.355,93;1.764,83;6.097;20;6.117
08/02/2017;1.941,78;39.925,78;41.867,56;1.744,48;7.163;19;7.182
09/02/2017;1.904,18;40.028,30;41.932,48;1.747,19;7.020;42;7.062
10/02/2017;1.348,02;40.420,68;41.768,70;1.740,36;4.641;18;4.659
11/02/2017;729,4;41.431,70;42.161,10;1.756,71;2.477;27;2.504
12/02/2017;565,4;41.878,86;42.444,26;1.768,51;1.929;14;1.943
13/02/2017;1.472,47;41.459,43;42.931,90;1.788,83;5.536;36;5.572
14/02/2017;1.892,88;40.952,63;42.845,51;1.785,23;6.990;82;7.072
15/02/2017;2.150,70;40.493,10;42.643,80;1.776,83;7.583;93;7.676
16/02/2017;2.061,10;40.599,15;42.660,25;1.777,51;7.515;107;7.622
17/02/2017;2.165,30;40.642,92;42.808,22;1.783,68;7.240;141;7.381
18/02/2017;1.953,87;40.268,27;42.222,14;1.759,26;5.624;222;5.846
19/02/2017;1.970,02;40.502,91;42.472,93;1.769,71;5.006;326;5.332
20/02/2017;1.978,20;40.737,07;42.715,27;1.779,80;7.069;105;7.174
21/02/2017;2.143,98;40.594,58;42.738,56;1.780,77;7.568;120;7.688
22/02/2017;2.265,53;40.105,65;42.371,18;1.765,47;8.019;97;8.116
23/02/2017;1.998,77;40.275,94;42.274,71;1.761,45;7.093;99;7.192
24/02/2017;2.440,63;40.098,08;42.538,71;1.772,45;8.240;144;8.384
25/02/2017;2.408,73;40.048,62;42.457,35;1.769,06;6.264;397;6.661
26/02/2017;1.966,78;40.694,71;42.661,49;1.777,56;5.421;328;5.749
27/02/2017;2.053,27;41.062,57;43.115,84;1.796,49;7.052;174;7.226
28/02/2017;2.034,60;40.968,96;43.003,56;1.791,82;7.552;100;7.652
01/03/2017;2.313,22;40.796,71;43.109,93;1.796,25;8.361;81;8.442
02/03/2017;1.918,48;41.242,01;43.160,49;1.798,35;8.320;114;8.434
03/03/2017;1.517,27;42.019,93;43.537,20;1.814,05;5.411;47;5.458
04/03/2017;1.603,10;42.433,21;44.036,31;1.834,85;5.072;159;5.231
05/03/2017;1.507,83;42.537,52;44.045,35;1.835,22;4.633;164;4.797
06/03/2017;2.124,28;41.770,10;43.894,38;1.828,93;7.913;48;7.961
07/03/2017;2.398,55;40.995,35;43.393,90;1.808,08;8.776;79;8.855
08/03/2017;2.712,67;40.149,46;42.862,13;1.785,92;9.521;101;9.622
09/03/2017;2.873,80;39.658,26;42.532,06;1.772,17;9.760;107;9.867
10/03/2017;3.022,82;39.678,10;42.700,92;1.779,21;9.826;206;10.032
11/03/2017;2.836,02;39.310,53;42.146,55;1.756,11;7.473;437;7.910
12/03/2017;2.320,43;39.780,76;42.101,19;1.754,22;6.152;376;6.528
13/03/2017;1.905,47;41.499,43;43.404,90;1.808,54;7.128;95;7.223
14/03/2017;2.193,42;40.483,90;42.677,32;1.778,22;8.414;83;8.497
15/03/2017;2.604,72;39.386,27;41.990,99;1.749,62;9.387;124;9.511
16/03/2017;2.797,27;38.544,47;41.341,74;1.722,57;9.654;128;9.782
17/03/2017;2.523,17;38.290,91;40.814,08;1.700,59;8.362;147;8.509
18/03/2017;2.386,08;37.908,13;40.294,21;1.678,93;5.929;444;6.373
19/03/2017;2.287,23;37.905,13;40.192,36;1.674,68;5.390;491;5.881
20/03/2017;2.435,03;38.012,77;40.447,80;1.685,33;5.861;419;6.280
21/03/2017;2.248,67;37.074,68;39.323,35;1.638,47;8.200;116;8.316
22/03/2017;1.677,05;37.416,75;39.093,80;1.628,91;6.181;30;6.211
23/03/2017;1.393,83;38.687,08;40.080,91;1.670,04;5.235;29;5.264
24/03/2017;1.610,32;38.412,75;40.023,07;1.667,63;5.633;57;5.690
25/03/2017;1.589,07;38.264,98;39.854,05;1.660,59;4.698;148;4.846
26/03/2017;1.531,60;38.446,53;39.978,13;1.738,18;4.646;166;4.812
27/03/2017;1.840,12;38.794,16;40.634,28;1.693,10;6.577;104;6.681
28/03/2017;2.413,42;37.734,27;40.147,69;1.672,82;8.513;92;8.605
29/03/2017;2.692,48;35.962,36;38.654,84;1.610,62;9.173;112;9.285
30/03/2017;2.753,02;34.983,62;37.736,64;1.572,36;9.459;136;9.595
31/03/2017;2.798,30;35.125,50;37.923,80;1.580,16;9.382;141;9.523
01/04/2017;2.621,78;35.132,90;37.754,68;1.573,11;6.999;379;7.378
02/04/2017;2.704,77;31.131,60;33.836,37;1.409,85;6.737;336;7.073
03/04/2017;2.406,87;34.300,20;36.707,07;1.529,46;8.290;160;8.450
04/04/2017;2.700,82;33.721,20;36.422,02;1.517,58;9.173;128;9.301
05/04/2017;2.609,47;33.965,83;36.575,30;1.523,97;8.953;112;9.065
06/04/2017;2.662,72;33.131,73;35.794,45;1.491,44;9.001;110;9.111
07/04/2017;2.746,97;33.630,63;36.377,60;1.515,73;8.972;154;9.126
08/04/2017;2.560,62;37.304,98;39.865,60;1.661,07;6.919;364;7.283
09/04/2017;2.666,17;34.976,03;37.642,20;1.568,43;6.272;452;6.724
10/04/2017;2.455,57;37.756,62;40.212,19;1.675,51;7.576;277;7.853
11/04/2017;2.469,90;36.748,86;39.218,76;1.634,12;7.694;289;7.983
12/04/2017;2.339,48;36.406,43;38.745,91;1.614,41;6.985;298;7.283
13/04/2017;1.926,43;36.583,16;38.509,59;1.604,57;4.233;368;4.601
14/04/2017;1.894,12;36.667,20;38.561,32;1.606,72;4.056;427;4.483
15/04/2017;1.973,50;37.214,28;39.187,78;1.632,82;4.300;602;4.902
16/04/2017;2.095,92;35.019,78;37.115,70;1.546,49;4.757;564;5.321
17/04/2017;2.722,52;37.683,38;40.405,90;1.683,58;8.567;382;8.949
18/04/2017;2.910,95;37.636,55;40.547,50;1.689,48;9.908;213;10.121
19/04/2017;2.615,47;38.023,73;40.639,20;1.693,30;9.269;161;9.430
20/04/2017;2.490,37;37.403,03;39.893,40;1.662,23;8.928;155;9.083
21/04/2017;2.970,40;36.797,20;39.767,60;1.656,98;9.973;206;10.179
22/04/2017;2.572,67;36.805,20;39.377,87;1.640,74;7.539;415;7.954
23/04/2017;3.217,70;33.499,55;36.717,25;1.529,89;8.660;583;9.243
24/04/2017;2.859,23;36.585,80;39.445,03;1.643,54;9.476;274;9.750
25/04/2017;2.335,80;36.549,03;38.884,83;1.620,20;9.410;123;9.533
26/04/2017;2.594,42;36.557,71;39.152,13;1.631,34;9.664;91;9.755
27/04/2017;2.396,98;37.856,28;40.253,26;1.677,22;8.761;61;8.822
28/04/2017;2.295,93;38.319,20;40.615,13;1.692,30;8.217;124;8.341
29/04/2017;1.061,70;39.726,28;40.787,98;1.699,50;3.229;115;3.344
30/04/2017;1.099,70;39.725,41;40.825,11;1.701,05;3.278;144;3.422
01/05/2017;2.085,45;39.270,08;41.355,53;1.723,15;4.831;393;5.224
02/05/2017;2.324,10;39.308,08;41.632,18;1.734,67;6.477;293;6.770
03/05/2017;2.725,88;39.159,56;41.885,44;1.745,23;9.878;132;10.010
04/05/2017;2.910,53;39.256,47;42.167,00;1.756,96;10.442;91;10.533
05/05/2017;2.455,00;39.087,90;41.542,90;1.730,95;9.076;103;9.179
06/05/2017;2.738,13;39.223,10;41.961,23;1.748,38;7.831;389;8.220
07/05/2017;3.025,47;38.765,73;41.791,20;1.741,30;8.158;423;8.581
08/05/2017;2.906,17;39.718,47;42.624,64;1.776,03;10.266;185;10.451
09/05/2017;3.110,60;38.763,35;41.873,95;1.744,75;10.925;206;11.131
10/05/2017;2.839,35;38.587,93;41.427,28;1.726,14;10.571;124;10.695
11/05/2017;1.894,30;40.857,48;42.751,78;1.781,32;7.074;54;7.128
12/05/2017;1.917,83;41.764,30;43.682,13;1.820,09;7.119;61;7.180
13/05/2017;2.506,32;43.206,48;45.712,80;1.904,70;7.036;323;7.359
14/05/2017;2.817,00;43.502,66;46.319,66;1.929,99;7.447;509;7.956
15/05/2017;2.919,13;43.622,73;46.541,86;1.939,24;7.761;448;8.209
16/05/2017;2.999,15;43.353,70;46.352,85;1.931,37;10.710;181;10.891
17/05/2017;3.146,98;43.145,08;46.292,06;1.928,84;11.183;141;11.324
18/05/2017;2.950,93;43.440,05;46.390,98;1.932,96;10.534;159;10.693
19/05/2017;3.308,90;43.283,53;46.592,43;1.941,35;11.251;210;11.461
20/05/2017;3.089,73;42.630,63;45.720,36;1.905,02;9.100;434;9.534
21/05/2017;2.776,25;42.092,92;44.869,17;1.869,55;7.967;402;8.369
22/05/2017;3.196,03;40.340,45;43.536,48;1.814,02;11.221;210;11.431
23/05/2017;3.266,87;40.719,08;43.985,95;1.832,75;11.643;228;11.871
24/05/2017;3.545,05;40.827,76;44.372,81;1.848,87;12.265;210;12.475
25/05/2017;3.610,40;40.667,42;44.277,82;1.844,91;12.466;281;12.747
26/05/2017;3.643,30;41.191,85;44.835,15;1.868,13;12.293;300;12.593
27/05/2017;3.490,38;40.776,98;44.267,36;1.844,47;10.032;586;10.618
28/05/2017;3.145,95;39.948,50;43.094,45;1.795,60;8.820;678;9.498
29/05/2017;3.241,02;40.378,43;43.619,45;1.817,48;11.405;235;11.640
30/05/2017;3.511,53;40.717,98;44.229,51;1.842,90;12.445;178;12.623
31/05/2017;3.640,95;39.872,88;43.513,83;1.813,08;12.795;185;12.980
01/06/2017;3.670,68;39.643,73;43.314,41;1.804,77;13.450;132;13.582
02/06/2017;3.528,30;39.196,58;42.724,88;1.780,20;12.453;198;12.651
03/06/2017;2.812,62;39.023,78;41.836,40;1.743,18;9.006;377;9.383
04/06/2017;3.036,38;37.507,50;40.543,88;1.689,33;9.061;270;9.331
05/06/2017;3.136,83;37.526,38;40.663,21;1.694,30;11.299;182;11.481
06/06/2017;3.485,40;37.629,02;41.114,42;1.713,10;12.320;176;12.496
07/06/2017;3.633,98;37.433,91;41.067,89;1.711,16;12.873;190;13.063
08/06/2017;3.646,08;39.675,60;43.321,68;1.805,07;13.128;211;13.339
09/06/2017;3.816,57;40.231,68;44.048,25;1.835,34;12.915;232;13.147
10/06/2017;3.182,58;40.584,55;43.767,13;1.823,63;9.813;402;10.215
11/06/2017;3.073,80;40.730,82;43.804,62;1.825,19;9.001;407;9.408
